Name,Phone,Full_Address,City,State,ZIP,Source_URL,Latitude,Longitude
Uvaggio,707-224-2254,P.O. Box 10708,,,,https://www.fortross.org/local/ava/napa-valley,,
Bounty Hunter,707-226-3976,975 First Street,,,,https://www.fortross.org/local/ava/napa-valley,40.056971,-82.398288
Brian Edward Wines,707-927-3459,"Napa, California 94558",Napa,California,94558.0,https://www.fortross.org/local/ava/napa-valley,38.320583,-122.306033
Charthia Cellars,707-980-8026,23 Walkabout Lane,,,,https://www.fortross.org/local/ava/napa-valley,38.327775,-122.297089
Steltzner Vineyards,707-252-7272,"5 Financial Plaza, Ste 104",Financial Plaza,Ste 104,,https://www.fortross.org/local/ava/napa-valley,38.32347,-122.28931
Blackbird Vineyards,707-252-4444,1330 Oak Knoll Ave,,,,https://www.fortross.org/local/ava/napa-valley,38.361837,-122.313912
Fortunati Vineyards,707-255-9300,986 Salvador Avenue,,,,https://www.fortross.org/local/ava/napa-valley,38.34756,-122.30834
Moone-Tsai Vineyards,707-265-6782,2921 Silverado Trail,,,,https://www.fortross.org/local/ava/napa-valley,38.345036,-122.283833
Silenus,707-299-3930,5225 Solano Avenue,,,,https://www.fortross.org/local/ava/napa-valley,38.363738,-122.339142
Xtant,707-224-7844,P.O. Box 2430,,,,https://www.fortross.org/local/ava/napa-valley,,
Acre Napa Valley,707-337-0379,PO Box 3674,,,,https://www.fortross.org/local/ava/napa-valley,,
Burly Wines â€“ McCrorie Family Vineyards,707-299-7085,4446 Stillson Street,,,,https://www.fortross.org/local/ava/napa-valley,38.333785,-122.326686
Spelletich Cellars,707-775-7300,2545 Napa Valley Corporate Drive Suite C,,,,https://www.fortross.org/local/ava/napa-valley,38.253755,-122.276035
Spiriterra Vineyards,415-218-1753,805 Greenfield Rd,,,,https://www.fortross.org/local/ava/napa-valley,41.21068,-80.35848
B. Kosuge Wines,707-738-8396,"Napa, California 94581",Napa,California,94581.0,https://www.fortross.org/local/ava/napa-valley,38.296807,-122.286671
Black Stallion Winery,707- 227-3250,4089 Silverado Trail,,,,https://www.fortross.org/local/ava/napa-valley,38.359421,-122.291508
Campesino Vineyards,707-812-8974,3205 Von Uhlit Ranch Rd,,,,https://www.fortross.org/local/ava/napa-valley,38.322027,-122.290248
JACK Winery,707- 492-5436,PO Box 6048,,,,https://www.fortross.org/local/ava/napa-valley,,
Picnic Wine Company,707-363-3893,5200 Wild Horse Valley Road,,,,https://www.fortross.org/local/ava/napa-valley,38.29402,-122.23055
Sjoeblom Winery,707-968-9395,P.O. Box 3496,,,,https://www.fortross.org/local/ava/napa-valley,,
Voss Vineyards,707-259-0993,1862 El Centro Ave.,,,,https://www.fortross.org/local/ava/napa-valley,38.334989,-122.319742
Arcudi Wines,,P.O. Box 10411,,,,https://www.fortross.org/local/ava/napa-valley,,
Billhook,505-660-1507,"Napa, California 94558",Napa,California,94558.0,https://www.fortross.org/local/ava/napa-valley,38.320583,-122.306033
COHO Wines,707-258-2566,PO Box 5726,,,,https://www.fortross.org/local/ava/napa-valley,,
Seavey Vineyard,707-963-8339,1310 Conn Valley Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.5081,-122.40027
Somerston,707-967-8414,3450 Sage Canyon Road,,,,https://www.fortross.org/local/ava/napa-valley,38.51936,-122.26739
Vermeil Wines,707-254-9881,1018 First St.,,,,https://www.fortross.org/local/ava/napa-valley,40.809315,-81.525115
Andretti Winery,707-259-6777,4162 Big Ranch Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.355739,-122.305293
David Arthur Vineyards,707-963-5190,210 Long Ranch Road,,,,https://www.fortross.org/local/ava/napa-valley,38.46776,-122.34869
Lewis Cellars,707-255-3400,4101 Big Ranch Rd,,,,https://www.fortross.org/local/ava/napa-valley,38.351991,-122.308465
Onesta Wines,,"Napa, California 94559",Napa,California,94559.0,https://www.fortross.org/local/ava/napa-valley,38.298596,-122.288187
Patland Estate Vineyards,888-539-4717,2275 Soda Canyon Rd,,,,https://www.fortross.org/local/ava/napa-valley,38.402253,-122.301956
Playwright Wines,415-509-2433,"918 Enterprise Way, Ste G",Enterprise Way,Ste G,,https://www.fortross.org/local/ava/napa-valley,38.259395,-122.274443
A Tribute to Grace Wine Company,,P.O. Box 10307,,,,https://www.fortross.org/local/ava/napa-valley,,
Gustavo Wines,707-257-6796,"902 Enterprise Way, STE P",Enterprise Way,STE P,,https://www.fortross.org/local/ava/napa-valley,38.258703,-122.271753
Hall Winery,707-967-2626,56 Auberge Rd,,,,https://www.fortross.org/local/ava/napa-valley,38.49714,-122.40149
Highflyer Wines,707-967-8414,543 Mund Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.53425,-122.469482
Neiman Cellars,707-322-7478,375 Randolph St.,,,,https://www.fortross.org/local/ava/napa-valley,42.30589,-83.42594
Starfield Vineyards,530-295-9156,"1436 2nd Street, Suite 256",nd Street,Suite 256,,https://www.fortross.org/local/ava/napa-valley,38.75476,-83.02612
White Rock Vineyards,707-257-7922,1115 Loma Vista Dr.,,,,https://www.fortross.org/local/ava/napa-valley,38.37749,-122.28908
Antica Napa Valley,707-257-8700,3149 Soda Canyon Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.43409,-122.28782
Beaucanon Estate Winery,707-254-1460,1006 Monticello Rd.,,,,https://www.fortross.org/local/ava/napa-valley,33.313948,-83.449736
Lateral Wines,408-230-0392,1370 Trancas Street #420,,,,https://www.fortross.org/local/ava/napa-valley,38.323315,-122.30196
Page Wine Cellars,707-255-4665,520 California Blvd. #18,,,,https://www.fortross.org/local/ava/napa-valley,34.135433,-118.161246
Reid Family Cellars,707-252-3195,1020 Borrette Lane,,,,https://www.fortross.org/local/ava/napa-valley,38.31371,-122.34831
Vinoce / Twenty Rows,707-265-7750,880 Vallejo St.,,,,https://www.fortross.org/local/ava/napa-valley,37.798385,-122.411741
Aonair Wines,707-738-8352,523 Westgate Drive,,,,https://www.fortross.org/local/ava/napa-valley,41.76746,-88.35499
Blue Oak Vineyard,707-291-3671,44 Blue Oak Lane,,,,https://www.fortross.org/local/ava/napa-valley,38.31279,-122.23429
Grayson Cellars,707-812-4443,5135 Solano Avenue,,,,https://www.fortross.org/local/ava/napa-valley,38.35879,-122.33645
M.S. Torun Winery,650-773 â€“ 4003,5185 Wragg Canyon Road,,,,https://www.fortross.org/local/ava/napa-valley,38.47611,-122.16098
Pina Napa Valley,707-738-9328,8060 Silverado Trail,,,,https://www.fortross.org/local/ava/napa-valley,38.467067,-122.378046
Topaz Wines,707-252-2468,1755 Monarch Dr.,,,,https://www.fortross.org/local/ava/napa-valley,38.337395,-122.318953
Whetstone Wine Cellars,707-254-0600,1075 Altas Peak Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.339816,-122.263461
AlphaWolf Vineyard & Olive Ranch / Eagle Eye Wines,707-427-1600,6595 Gordon Valley Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.34092,-122.12502
"Benevolo Wines
â€“ Closed",707-484-1917,5171 Big Ranch Rd,,,,https://www.fortross.org/local/ava/napa-valley,38.3696,-122.31995
Bryant Family Vineyard,707-963-0483,1567 Sage Canyon,,,,https://www.fortross.org/local/ava/napa-valley,38.48467,-122.33916
Buoncristiani Family Winery,707-259-1681,2275 Soda Canyon Road,,,,https://www.fortross.org/local/ava/napa-valley,38.402253,-122.301956
Del Dotto Historic Winery & Caves,707-963-2134,1055 Atlas Peak Road,,,,https://www.fortross.org/local/ava/napa-valley,38.339637,-122.26309
Emerson Brown Wines,707-363-0693,4281 Dale Drive,,,,https://www.fortross.org/local/ava/napa-valley,38.338755,-122.31751
Gridley Family Cellars,707-965-9900,5225 Solano Ave,,,,https://www.fortross.org/local/ava/napa-valley,38.363738,-122.339142
Heritance Wines,707-259-0476,855 Bordeaux Way Ste 260,,,,https://www.fortross.org/local/ava/napa-valley,38.24962,-122.27152
Ideology Cellars,(707) 226-2151,5225 Solano Ave,,,,https://www.fortross.org/local/ava/napa-valley,38.363738,-122.339142
Materra Wines â€“ Cunat Family Vineyards,707-224-4900,4326 Big Ranch Road,,,,https://www.fortross.org/local/ava/napa-valley,38.362429,-122.309303
Neyers Vineyards,707-963-8840,2153 Sage Canyon Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.48937,-122.32769
ShadowBox Cellars,707-738-0386,449 Gateway Road West,,,,https://www.fortross.org/local/ava/napa-valley,38.224624,-122.265736
AnanTaah,707-337-4720,5225 Solano Ave.,,,,https://www.fortross.org/local/ava/napa-valley,38.363738,-122.339142
Falcor Wine Cellars,707-255-6070,"2511 Napa Valley Corporate Drive, Suite 115",Napa Valley Corporate Drive,Suite 115,,https://www.fortross.org/local/ava/napa-valley,38.2559,-122.27629
Gandona Winery,707-967-5550,1535 Sage Canyon Road,,,,https://www.fortross.org/local/ava/napa-valley,38.47739,-122.34552
James Cole Winery,707-251-9905,5014 Silverado Trail,,,,https://www.fortross.org/local/ava/napa-valley,38.370676,-122.298905
Matthiasson,707-265-9349,5225 Solano Ave,,,,https://www.fortross.org/local/ava/napa-valley,38.363738,-122.339142
Nakamura Cellars,707-299-3930,5225 Solano Ave,,,,https://www.fortross.org/local/ava/napa-valley,38.363738,-122.339142
Scalon Cellars,707-666-2245,270 Kreuzer Ln,,,,https://www.fortross.org/local/ava/napa-valley,38.28207,-122.22771
St. Barthelemy Cellars,707-966-1513,1001 Steele Canyon Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.5263,-122.19161
Calla Lily Estate & Winery,707-965-9558,6307 Pope Valley Road,,,,https://www.fortross.org/local/ava/napa-valley,38.62499,-122.450995
Cobden Wini Wines,,1200 Orchard Avenue,,,,https://www.fortross.org/local/ava/napa-valley,41.509491,-87.658299
Coup de Foudre Winery,707-253-8300,"135 Camino Dorado, Suite 8B",Camino Dorado,Suite 8B,,https://www.fortross.org/local/ava/napa-valley,38.229768,-122.25689
Euclid Wines,707-681-9463,4217 Grape Vine Dr.,,,,https://www.fortross.org/local/ava/napa-valley,38.327974,-122.335185
Hendry,707-226-8320,3104 Redwood Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.321111,-122.343619
Knighton Family Vineyards,248-672-2960,3860 Old Toll Rd,,,,https://www.fortross.org/local/ava/napa-valley,38.63808,-122.59624
Mike & Molly Hendry,707-255-6754,3104 Redwood Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.321111,-122.343619
On Q Wines,707-224-1222,PO Box 2188,,,,https://www.fortross.org/local/ava/napa-valley,,
VirgilÂ’s Vineyard,248-719-2808,1607 McKinley Road,,,,https://www.fortross.org/local/ava/napa-valley,38.335836,-122.274044
Bremer Family Winery,707-963-5411,975 Deer Park Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.551221,-122.470916
Burgess Cellars,800-752-9463,1108 Deer Park Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.5569,-122.47512
Cult of 8 â€“ Alias Winery,707-200-8321,P.O. Box 6962,,,,https://www.fortross.org/local/ava/napa-valley,,
Darioush Winery,707-257-2345,4240 Silverado Trail,,,,https://www.fortross.org/local/ava/napa-valley,38.367466,-122.294664
Garnet Vineyards,510-601-2223,"Napa, California 94558",Napa,California,94558.0,https://www.fortross.org/local/ava/napa-valley,38.320583,-122.306033
Laird Family Tasting Room,877-297-4902,5055 Solano Avenue,,,,https://www.fortross.org/local/ava/napa-valley,38.35394,-122.33499
Lapis Luna,707-332-5563,4225 Solano Ave.,,,,https://www.fortross.org/local/ava/napa-valley,38.336492,-122.323
Modus Operandi Cellars,530-219-6199,5225 Solano Ave,,,,https://www.fortross.org/local/ava/napa-valley,38.363738,-122.339142
Reynolds Family Winery,707-258-2558,3266 Silverado Trail,,,,https://www.fortross.org/local/ava/napa-valley,38.355987,-122.284871
Sandlands,,PO Box 6738,,,,https://www.fortross.org/local/ava/napa-valley,,
Trahan Winery,707-257-7477,974 Franklin Street,,,,https://www.fortross.org/local/ava/napa-valley,41.448786,-82.70165
Viader Winery,707-963-3816,1120 Deer Park Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.56008,-122.47363
Y Rousseau Wines,415-713-4203,"902 Enterprise Way, Suite O",Enterprise Way,Suite O,,https://www.fortross.org/local/ava/napa-valley,38.25805,-122.27189
Alex Sotelo Cellars,707-224-5920,4154 Burgandy Way,,,,https://www.fortross.org/local/ava/napa-valley,38.326771,-122.333261
Don Sebastiani & Sons,,520 Airpark Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.221579,-122.269739
Hidden Ridge Vineyard,707-339-0530,110 Camino Oruga,,,,https://www.fortross.org/local/ava/napa-valley,38.229058,-122.255771
Laird Family Estate,877-297-4902,5055 Solano Avenue,,,,https://www.fortross.org/local/ava/napa-valley,38.35394,-122.33499
Luna Vineyards,707-255-5862,2921 Silverado Trail,,,,https://www.fortross.org/local/ava/napa-valley,38.345036,-122.283833
Mark Herold Wines,707-258-3111,710 First Street,,,,https://www.fortross.org/local/ava/napa-valley,40.1829,-81.89018
Mason Cellars,707-255-0658,PO Box 248,,,,https://www.fortross.org/local/ava/napa-valley,,
Mi Sueno Winery,707-258-6358,"910 Enterprise Way, Suite M",Enterprise Way,Suite M,,https://www.fortross.org/local/ava/napa-valley,38.259791,-122.271996
Noria Wines,,5225 Solano Ave.,,,,https://www.fortross.org/local/ava/napa-valley,38.363738,-122.339142
P.B. Hein Vineyards,707-967-8638,140 Pine Place,,,,https://www.fortross.org/local/ava/napa-valley,40.620543,-74.079176
Prim Family Vineyard,855-289-8800,175 Tower Rd,,,,https://www.fortross.org/local/ava/napa-valley,39.104952,-84.879665
Salexis Wines,707-256-3435,257 Walnut St. Suite D,,,,https://www.fortross.org/local/ava/napa-valley,41.325746,-80.726425
Sonoma-Loeb Wines,800-989-2440,1581 Sage Canyon Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.480085,-122.332246
Anderson`s Conn Valley Vineyards,707-963-8600,680 Rossi Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.51261,-122.41142
CaÂ’ Momi Wines,877-622-6664,2180 Jefferson Street,,,,https://www.fortross.org/local/ava/napa-valley,41.578908,-87.340488
Celani Family Vineyards,707.255.5645,2230 Big Ranch Road,,,,https://www.fortross.org/local/ava/napa-valley,38.33559,-122.29132
Crosby Roamann,707-258-8599,45 Enterprise Court #6,,,,https://www.fortross.org/local/ava/napa-valley,38.26044,-122.27403
Darjean Jones,707-266-6547,45 Enterprise Ct,,,,https://www.fortross.org/local/ava/napa-valley,38.260395,-122.274163
Hesperian Wines,707-927-3787,778 Williams Court,,,,https://www.fortross.org/local/ava/napa-valley,41.4023,-87.36673
Mandolin Wines,707-265-8523,P.O. Box 6979,,,,https://www.fortross.org/local/ava/napa-valley,,
Merus,707-251-5551,424 Crystal Springs Road,,,,https://www.fortross.org/local/ava/napa-valley,33.54083,-81.88054
RD Winery,707-259-9446,3 Executive Way,,,,https://www.fortross.org/local/ava/napa-valley,38.224688,-122.256805
St. Clair Brown Winery,707-255-5591,850 Vallejo Street,,,,https://www.fortross.org/local/ava/napa-valley,37.798651,-122.411394
Stonehedge Winery,707-257-1068,1004 Clinton St.,,,,https://www.fortross.org/local/ava/napa-valley,41.44646,-82.72298
William Hill Estate,707-265-3024,1761 Atlas Peak Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.355604,-122.270099
Alta Napa Valley,707-341-2930,5055 Solano Avenue,,,,https://www.fortross.org/local/ava/napa-valley,38.35394,-122.33499
Amuse Bouche,707-251-9300,"135 Camino Dorado, Suite 8",Camino Dorado,Suite 8,,https://www.fortross.org/local/ava/napa-valley,38.229768,-122.25689
Boyanci / InSpire,707-255-7800,135 Camino Dorado Suite 12,,,,https://www.fortross.org/local/ava/napa-valley,38.229768,-122.25689
Coniglio Wines,888-726-6796,543 Mund Road,,,,https://www.fortross.org/local/ava/napa-valley,38.53425,-122.469482
Dearden Wines,707-944-2054,PO Box 4364,,,,https://www.fortross.org/local/ava/napa-valley,,
Gamling & McDuck,612-309-3306,615A Sunnyside Road,,,,https://www.fortross.org/local/ava/napa-valley,40.22004,-76.1967
Hailstone Vineyards,844-990-1900,708 First Street,,,,https://www.fortross.org/local/ava/napa-valley,38.79155,-83.53861
Highlands Winery,707-603-2096,5225 Solano Avenue,,,,https://www.fortross.org/local/ava/napa-valley,38.363738,-122.339142
Lion`s Run Wines,707-287-0273,PO Box 5750,,,,https://www.fortross.org/local/ava/napa-valley,,
Luna Vineyards Tasting Salon,707-255-5862,2921 Silverado Trail,,,,https://www.fortross.org/local/ava/napa-valley,38.345036,-122.283833
O`Brien Estate,707-252-8463,1200 Orchard Avenue,,,,https://www.fortross.org/local/ava/napa-valley,41.509491,-87.658299
Pine & Brown Estates,707-363-4057,1045 Pine St.,,,,https://www.fortross.org/local/ava/napa-valley,41.144552,-81.364757
Robert Craig Winery,707- 252-2250,625 Imperial Way,,,,https://www.fortross.org/local/ava/napa-valley,38.30663,-122.282428
"Toolbox Wine Company

â€“ Closed",707-252-8665,902 Enterprise Way,,,,https://www.fortross.org/local/ava/napa-valley,38.258703,-122.271753
Vice Versa Wine,707-968-5620,"4225 Solano Ave, Suite 555",Solano Ave,Suite 555,,https://www.fortross.org/local/ava/napa-valley,38.336492,-122.323
Wonderment Wines,843-822-8466,425 Jefferson St,,,,https://www.fortross.org/local/ava/napa-valley,39.3512,-83.38567
Accendo Cellars,707-294-2423,"1040 Main Street, Suite 103",Main Street,Suite 103,,https://www.fortross.org/local/ava/napa-valley,39.713887,-82.972069
BX of Napa Wines,707-927-8750,"Napa, California",Napa,California,,https://www.fortross.org/local/ava/napa-valley,38.298596,-122.288187
Ellman Family Vineyards,707 947-3010,"3212 Jefferson Street, #238",Jefferson Street,#238,,https://www.fortross.org/local/ava/napa-valley,43.194484,-86.246529
Hersly Wines,707-681-5870,PO Box 5491,,,,https://www.fortross.org/local/ava/napa-valley,,
Irwin Family Vineyards,707-287-2053,4457 Stillson Street,,,,https://www.fortross.org/local/ava/napa-valley,38.333634,-122.327202
John Anthony Vineyards,707-265-7711,1440 First Street,,,,https://www.fortross.org/local/ava/napa-valley,41.944128,-84.011607
Kenzo Estate,707-254-7572,3200 Monticello Road,,,,https://www.fortross.org/local/ava/napa-valley,38.3402,-122.20109
Levendi Winery,877-538-3634,4225 Solano Ave.,,,,https://www.fortross.org/local/ava/napa-valley,38.336492,-122.323
Long Meadow Ranch Winery,707-963-4555,775 Whitehall Lane,,,,https://www.fortross.org/local/ava/napa-valley,37.22397,-81.36387
Poe Wines,707-302-9636,"292 Kaanapali Dr,",Kaanapali Dr,,,https://www.fortross.org/local/ava/napa-valley,38.346774,-122.262794
Black Cordon Vineyards,707-226-6860,4155 Dry Creek Road,,,,https://www.fortross.org/local/ava/napa-valley,47.03203,-120.601266
Four Bears / Sean Minor Wines,707-226-1414,"1370 Trancas Street, # 327",Trancas Street,# 327,,https://www.fortross.org/local/ava/napa-valley,38.323315,-122.30196
Frazier Winery,707-255-3444,"Napa, California 94558",Napa,California,94558.0,https://www.fortross.org/local/ava/napa-valley,38.320583,-122.306033
Peter Franus Wine Co.,707-945-0542,5055 Solano Avenue,,,,https://www.fortross.org/local/ava/napa-valley,38.35394,-122.33499
Punch Vineyards,707-477-1403,574 Montgomery Street,,,,https://www.fortross.org/local/ava/napa-valley,39.637781,-84.282183
Spellbound Wines,707-256-2700,"1436 2nd Street, Suite 288",nd Street,Suite 288,,https://www.fortross.org/local/ava/napa-valley,38.75476,-83.02612
Waugh Cellars,707-227-2242,2275 Soda Canyon Road,,,,https://www.fortross.org/local/ava/napa-valley,38.402253,-122.301956
Brand Napa Valley,707-963-1199,90 Long Ranch Road,,,,https://www.fortross.org/local/ava/napa-valley,38.47083,-122.35791
Eleven Eleven Winery,707-224-2211,620 Trancas St.,,,,https://www.fortross.org/local/ava/napa-valley,38.325989,-122.287757
Fulcrum Wines,732-610-9602,110 Camino Oruga,,,,https://www.fortross.org/local/ava/napa-valley,38.229058,-122.255771
FUSE Wines,707-265-6492,4500 Silverado Trl,,,,https://www.fortross.org/local/ava/napa-valley,38.3708,-122.296164
Judd`s Hill Winery,707-255-2332,2332 Silverado Trail,,,,https://www.fortross.org/local/ava/napa-valley,38.337533,-122.279755
Melanson Vineyard,707-963-7404,1537 Sage Canyon Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.474532,-122.344288
Monticello Vineyards â€“ Corley Family Napa Valley,707-253-2802,4242 Big Ranch Road,,,,https://www.fortross.org/local/ava/napa-valley,38.361597,-122.306116
Napa Smith Brewpub & Wine TR,707-255-2912,1 Executive Way,,,,https://www.fortross.org/local/ava/napa-valley,38.224514,-122.256802
Phipps Family Cellars,707-265-0677,P.O. Box 10901,,,,https://www.fortross.org/local/ava/napa-valley,,
Road 31 Wine Company,707-649-1200,"Napa, California 94558",Napa,California,94558.0,https://www.fortross.org/local/ava/napa-valley,38.320583,-122.306033
Tetra Winery,707-492-3531,459 Walnut Street,,,,https://www.fortross.org/local/ava/napa-valley,41.17594,-80.755725
The Caves at Soda Canyon,707-861-8100,2275 Soda Canyon Road,,,,https://www.fortross.org/local/ava/napa-valley,38.402253,-122.301956
Valley Legend,,4239 Maher St,,,,https://www.fortross.org/local/ava/napa-valley,38.334147,-122.324679
Holman Cellars,707-287-7557,190 Camino Oruga #9,,,,https://www.fortross.org/local/ava/napa-valley,38.22795,-122.253604
Manifesto!,707-200-8321,PO Box 10099,,,,https://www.fortross.org/local/ava/napa-valley,,
Mark Herold Reserve Room,707-256-3111,926 Franklin St,,,,https://www.fortross.org/local/ava/napa-valley,41.089214,-80.644423
Mendelson Wines,707-255-7825,809 Coombs St.,,,,https://www.fortross.org/local/ava/napa-valley,38.29712,-122.286119
Porter Family Vineyards,707-927-0765,1189 Green Valley Rd,,,,https://www.fortross.org/local/ava/napa-valley,39.607948,-86.144727
Trinitas Cellars,888-983-8414,875 Bordeaux Way,,,,https://www.fortross.org/local/ava/napa-valley,38.245885,-122.27372
Virage Napa Valley,707-963-2588,5225 Solano Ave,,,,https://www.fortross.org/local/ava/napa-valley,38.363738,-122.339142
X Winery & Amicus Cellars,707-204-9522,122 Camino Oruga,,,,https://www.fortross.org/local/ava/napa-valley,38.228999,-122.254931
Alyris Vineyards,807-472-8135,2840 Monticello Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.34781,-122.22603
Broman Cellars,707-963-5451,945 Deer Park Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.54977,-122.46912
Darms Lane Wine,707-224-4200,1150 Darms Lane,,,,https://www.fortross.org/local/ava/napa-valley,38.36352,-122.34955
Madorom,707-265-8332,2340 Silverado Trail,,,,https://www.fortross.org/local/ava/napa-valley,38.339995,-122.279902
Maze Wines,707-260-4698,"Napa, California",Napa,California,,https://www.fortross.org/local/ava/napa-valley,38.298596,-122.288187
Monticelli Brothers,707-255-9100,"Napa, California",Napa,California,,https://www.fortross.org/local/ava/napa-valley,38.298596,-122.288187
Robert Biale Vineyards,707-257-7555,4038 Big Ranch Rd.,,,,https://www.fortross.org/local/ava/napa-valley,38.350659,-122.300993
Rocca Family Vineyards,707-257-8467,129 Devlin Road,,,,https://www.fortross.org/local/ava/napa-valley,38.238264,-122.269357
Sonria / Emerson Wines,707-324-9849,2130 3rd Street,,,,https://www.fortross.org/local/ava/napa-valley,39.75303,-84.23007
Ashes & Diamonds,707-666-4777,4130 Howard Lane,,,,https://www.fortross.org/local/ava/napa-valley,38.34542,-122.32424
Gemella,707-261-9855,2275 Soda Canyon Road,,,,https://www.fortross.org/local/ava/napa-valley,38.402253,-122.301956
Longfellow Wines,888-533-5569,910 Enterprise Way,,,,https://www.fortross.org/local/ava/napa-valley,38.259791,-122.271996
pureCru Wines,707-603-2943,1463 First Street,,,,https://www.fortross.org/local/ava/napa-valley,42.332586,-83.05483
Ubuntu Annex,707-287-0273,PO Box 5750,,,,https://www.fortross.org/local/ava/napa-valley,,
West of Temperance,415-342-1603,2511 Napa Valley Corporate Dr. Suite 115,,,,https://www.fortross.org/local/ava/napa-valley,38.2559,-122.27629
Amizetta Vineyards,707-963-1460,1099 Greenfield Rd.,,,,https://www.fortross.org/local/ava/napa-valley,40.059174,-76.247422
Avinodos,707-225-2350,"902 Enterprise Way, Suite P",Enterprise Way,Suite P,,https://www.fortross.org/local/ava/napa-valley,38.258703,-122.271753
Grassi Wine Company,707-255-3232,1213 Coombs St.,,,,https://www.fortross.org/local/ava/napa-valley,38.299965,-122.288425
J. Moss Wines,707-642-3288,"901 Enterprise Way, Suite B",Enterprise Way,Suite B,,https://www.fortross.org/local/ava/napa-valley,36.83805,-76.30945
Bright Angel Wines,312-510-6211,45 Enterprise Ct,,,,https://www.fortross.org/local/ava/napa-valley,38.260395,-122.274163
